hostname,country,status,platform,page_load(ms)
WearLively.com,CA,,Shopify,80
WearLively.com,CA,,Shopify,80
livingspaces.com,US,,,788
LimogesJewelry.com,US,,Magento,1336
WearLively.com,CA,,Shopify,80
LollyWollyDoodle.com,CA,,,108
LollyWollyDoodle.com,CA,,,108
LivingSocial.com,US,,,326
Lokai.com,US,,,410
Lokai.com,US,,,410
LorealParisUSA.com,US,,,682
LorealParisUSA.com,US,,,682
LovelySkin.com,US,,,384
LovelySkin.com,US,,,384
LovelySkin.com,US,,,384
Lowes.com,US,,,172
Lowes.com,US,,,172
LukieGames.com,US,,,772
Lulu.com,US,,,1075
Lowes.com,US,,,172
Oakley.com,US,,Hybris,312
LuluLemon.com,US,,,672
LuluLemon.com,US,,,672
LuxuryDivas.com,CA,,Shopify,80
LuxeDecor.com/,,,,559
MacksPW.com,US,,,708
MGemi.com,US,,,595
MGemi.com,US,,,595
MGemi.com,US,,,595
MGemi.com,US,,,595
MagnetStreet.com,US,,,488
MagnetStreet.com,US,,,488
ManCrates.com,US,,Bigcommerce,715
mango.com,IE,,,2502
Magnets.com,US,,Magento,2218
MauiDivers.com,CA,,Shopify,73
MattressFirm.com,US,,,747
MattressFirm.com,US,,,747
ShoeMall.com,US,,Oracle Commerce,267
US-Mattress.com,US,,Yahoo! Ecommerce,339
MaxFurniture.com,US,,,844
MaxFurniture.com,US,,,844
MaxFurniture.com,US,,,844
MedalsOfAmerica.com,US,,,714
MedalsOfAmerica.com,US,,,714
menards.com,US,,,74
MicrofiberProducts.com,US,,Yahoo! Ecommerce,438
MichaelKors.com,US,,,1068
us.memebox.com,US,,,888
MichaelKors.com,US,,,1068
MidwayUSA.com,CA,,,1034
MidwayUSA.com,CA,,,1034
MidwayUSA.com,CA,,,1034
MidwayUSA.com,CA,,,1034
MidwayUSA.com,CA,,,1034
Shop.MLB.com,US,,,321
MMAWarehouse.com,CA,,,103
MMAWarehouse.com,CA,,,103
MMAWarehouse.com,CA,,,103
MMAWarehouse.com,CA,,,103
ModCloth.com,US,,,780
ModernLineFurniture.com,US,,Yahoo! Ecommerce,287
CellularOutfitter.com,US,,,1637
Modells.com,US,,,1386
CellularOutfitter.com,US,,,1637
MoMAStore.org,US,,,873
MoMAStore.org,US,,,873
Monogramonline.com,US,,Yahoo! Ecommerce,389
MonkeySports.com,US,,,1597
MoMAStore.org,US,,,873
JPCycles.com,US,,,582
JPCycles.com,US,,,582
JPCycles.com,US,,,582
JPCycles.com,US,,,582
JPCycles.com,US,,,582
MVMTWatches.com,CA,,,111
MVMTWatches.com,CA,,,111
MVMTWatches.com,CA,,,111
MVMTWatches.com,CA,,,111
MVMTWatches.com,CA,,,111
MyOTCstore.com,US,,,1563
MyOTCstore.com,US,,,1563
MyNaturalMarket.com,US,,,858
US.NakedWines.com,US,,,1113
ShopNastyGal.com,LU,,,1094
NFLShop.com,US,,,269
4-hmall.org,US,,Commerce Server,374
NationalBusinessFurniture.com,US,,,493
NationalBusinessFurniture.com,US,,,493
NFLShop.com,US,,,269
nationaltradesupply.com,US,,,203
Shop.NHL.com,US,,,536
Shop.NHL.com,US,,,536
NatureHills.com,US,,Magento,720
NaturalWellbeing.com,US,,,263
Store.NBA.com,US,,,221
Store.NBA.com,US,,,221
Bowflex.com,US,,Demandware,704
Bowflex.com,US,,Demandware,704
Puritan.com,EU,,,506
Rubbermaid.com,US,,,259
Rubbermaid.com,US,,,259
NewBalance.com,US,,Demandware,1050
NewBalance.com,US,,Demandware,1050
Newegg.com,US,,,1668
NoLimitMotorsport.com,US,,,300
Nike.com,US,,,125
Nordstrom.com,US,,,730
NineLineApparel.com,US,,Bigcommerce,868
NineLineApparel.com,US,,Bigcommerce,868
NorthernTool.com,US,,,415
NorthShoreCare.com,US,,,536
NorthernTool.com,US,,,415
NorthernMarineElectronics.com,US,,Bigcommerce,679
NorthernTool.com,US,,,415
Nuts.com,US,,,289
OfficeSupply.com,US,,,361
OfficeDepot.com,US,,,865
Nutrisystem.com,US,,,639
Oka-B.com,US,,Magento,4367
SunglassWarehouse.com,US,,,1213
getolympus.com,US,,Magento,931
getolympus.com,US,,Magento,931
OmahaSteaks.com,US,,,1547
getolympus.com,US,,Magento,931
TheInsoleStore.com,US,,Magento,1721
TheInsoleStore.com,US,,Magento,1721
OnlineSports.com,US,,Magento,634
OnlineStores.com,US,,Magento,600
Oneida.com,US,,Magento,767
Oompa.com,CA,,Shopify,94
MyWhiteboards.com,US,,Yahoo! Ecommerce,187
OpticsPlanet.com,US,,,1175
ShopAEMC.com,US,,,1258
OrangeOnions.com,US,,Magento,1744
OrientalTrading.com,US,,,704
OrientalTrading.com,US,,,704
OrientalTrading.com,US,,,704
OReillyAuto.com,US,,,895
OReillyAuto.com,US,,,895
OutdoorSpeakerDepot.com,US,,Yahoo! Ecommerce,378
OutdoorSpeakerDepot.com,US,,Yahoo! Ecommerce,378
OutdoorSpeakerDepot.com,US,,Yahoo! Ecommerce,378
OutdoorSpeakerDepot.com,US,,Yahoo! Ecommerce,378
OrthoticShop.com,US,,,739
OutletPC.com,US,,Yahoo! Ecommerce,513
OvernightPrints.com,US,,,893
overstockArt.com,US,,OpenCart,546
overstockArt.com,US,,OpenCart,546
overstockArt.com,US,,OpenCart,546
Shop.Panasonic.com,US,,,519
PacSun.com,US,,Demandware,514
PalmBeachJewelry.com,US,,,695
PalmettoStateArmory.com,US,,Magento,1041
PalmBeachJewelry.com,US,,,695
Paper-Source.com,US,,,201
PaperLanternStore.com,US,,Yahoo! Ecommerce,336
PaperMart.com,US,,,759
PaperMart.com,US,,,759
PaperMart.com,US,,,759
PartyCity.com,US,,,347
PartyCity.com,US,,,347
PartyCity.com,US,,,347
PartyCity.com,US,,,347
PartyCity.com,US,,,347
PCConnection.com,US,,,151
Payless.com,US,,,734
PaylessRugs.com,US,,,832
PaylessRugs.com,US,,,832
Payless.com,US,,,734
pcRUSH.com,US,,,350
Peapod.com,US,,,692
PegasusAutoRacing.com,US,,,1015
Peepers.com,CA,,Shopify,67
PegasusLighting.com,US,,,1571
PensNMore.com,CA,,Shopify,73
PensXpress.com,CA,,Shopify,77
PerformanceBike.com,US,,,535
PepBoys.com,US,,,1141
PepBoys.com,US,,,1141
PersonalizationMall.com,US,,,251
PersonalizationMall.com,US,,,251
PeruvianConnection.com,US,,,1013
PeruvianConnection.com,US,,,1013
petsuppliesdelivered.com,US,,,415
1800PetMeds.com,US,,Oracle Commerce,231
1800PetMeds.com,US,,Oracle Commerce,231
Pharmaca.com,US,,,462
PetFlow.com,US,,,283
PetFlow.com,US,,,283
Pier1.com,US,,,476
Shop.Philips.com,US,,,1060
Pier1.com,US,,,476
Shop.Philips.com,US,,,1060
Shop.Philips.com,US,,,1060
Pillows.com,US,,Yahoo! Ecommerce,280
PinkLily.com,US,,Bigcommerce,800
PinkLily.com,US,,Bigcommerce,800
PishPoshBaby.com,US,,Yahoo! Ecommerce,300
ShopPlanetBlue.com,US,,Magento,1585
Polywood-Furniture.com,US,,Magento,1662
Polywood-Furniture.com,US,,Magento,1662
Plushbeds.com,US,,,487
Poppin.com,US,,,395
Poppin.com,US,,,395
PotpourriGift.com,US,,,547
AirCompressorsDirect.com,US,,,246
PoshMommyJewelry.com,US,,Magento,1060
Powells.com,US,,,2396
PositivePromotions.com,US,,,699
PrintingForLess.com,US,,,448
ProjectRepat.com,CA,,,83
ProLighting.com,US,,,951
ProLighting.com,US,,,951
ProLighting.com,US,,,951
PromGirl.com,US,,,208
PureFormulas.com,US,,,759
PropertyRoom.com,US,,,1180
PropertyRoom.com,US,,,1180
PropertyRoom.com,US,,,1180
QualityHomeSystems.com,US,,,266
OnPurple.com,US,,,352
OnPurple.com,US,,,352
PureModern.com,CA,,Shopify,69
Blucoil.com,US,,Magento,1210
QVC.com,US,,,269
RadioShack.com,CA,,Shopify,70
Quiksilver.com,US,,Demandware,1225
FootPetals.com,US,,Demandware,889
FootPetals.com,US,,Demandware,889
RangerUp.com,US,,,760
Rawlings.com,US,,Demandware,671
RangerUp.com,US,,,760
RalphLauren.com,US,,,560
RalphLauren.com,US,,,560
ColemanFurniture.com,US,,,451
ColemanFurniture.com,US,,,451
ColemanFurniture.com,US,,,451
ColemanFurniture.com,US,,,451
